Account Number,Site Name,Meter ID,Billing Period,Total kWh,Peak kWh,Off-Peak kWh,Estimated,Tariff,Invoice Number
ACC-001234,Head Office - London,MTR-LDN-001,01 Jan 2024 - 14 Feb 2024,42850,28430,14420,N,Business TOU,INV-2024-001
ACC-001234,Head Office - London,MTR-LDN-001,15 Feb 2024 - 18 Mar 2024,38200,25100,13100,N,Business TOU,INV-2024-002
ACC-001235,Warehouse - Birmingham,MTR-BHM-001,01 Jan 2024 - 31 Jan 2024,18500,12000,6500,Y,Standard,INV-2024-003
ACC-001235,Warehouse - Birmingham,MTR-BHM-001,01 Feb 2024 - 29 Feb 2024,17800,11500,6300,N,Standard,INV-2024-004
ACC-001236,Data Centre - Manchester,MTR-MCR-001,2024-01-01 - 2024-01-31,125000,,,,Data Centre Premium,INV-2024-005
ACC-001236,Data Centre - Manchester,MTR-MCR-001,2024-02-01 to 2024-02-29,118500,,,,Data Centre Premium,INV-2024-006
ACC-001237,Regional Office - Edinburgh,MTR-EDI-001,01/01/2024 - 31/01/2024,8200,5400,2800,N,SME,INV-2024-007
ACC-001237,Regional Office - Edinburgh,MTR-EDI-001,01/02/2024 - 29/02/2024,7900,5100,2800,E,SME,INV-2024-008
ACC-001238,Factory - Leeds,MTR-LDS-001,January 2024,,15000,8000,N,Industrial,INV-2024-009
ACC-001238,Factory - Leeds,MTR-LDS-001,Feb-Mar 2024,1500000,,,N,Industrial,INV-2024-010
ACC-001239,Canteen - Bristol,MTR-BST-001,2024-01-05/2024-02-04,3200,,,N,SME Flex,INV-2024-011
ACC-001240,Car Park - London,MTR-CPK-001,01 Mar 2024 - 31 Mar 2024,,1200,800,N,EV Charging,INV-2024-012
