Travel Date,Employee ID,Cost Center,Transport Mode,From,To,Distance km,Class,Passengers,Nights,Notes
2024-01-08,EMP-001,CC-EXEC-01,Flight,LHR,JFK,,Business,1,,Board meeting NYC
2024-01-08,EMP-002,CC-SALES-01,Flight,LHR,JFK,,Economy,1,,Sales conference
2024-01-09,EMP-003,CC-TECH-01,Flight,LHR,SIN,,Economy,1,,Asia project kickoff
2024-01-10,EMP-001,CC-EXEC-01,Hotel,LHR,JFK,,,1,3,NYC hotel stay
2024-01-11,EMP-004,CC-SALES-01,Flight,CDG,LHR,,Economy,1,,Paris day trip
2024-01-15,EMP-005,CC-OPS-01,Flight,LHR,SYD,,Economy,1,,Long haul - Australia
2024-01-15,EMP-005,CC-OPS-01,Hotel,,,,,1,5,Sydney accommodation
2024-01-16,EMP-006,CC-FINANCE-01,Flight,JFK,LAX,,Premium,1,,West coast
2024-01-20,EMP-007,CC-TECH-01,Rail,LHR,CDG,,,,, Eurostar London-Paris
2024-01-22,EMP-008,CC-SALES-01,Car,,,350,,2,,Client visit road trip (km)
2024-01-25,EMP-009,CC-OPS-01,Flight,XXX,YYY,,Economy,1,,Unknown airport codes
2024-01-28,EMP-010,CC-EXEC-01,Flight,LHR,DXB,,First,1,,Dubai executive trip
2024-01-28,EMP-010,CC-EXEC-01,Hotel,,,,,1,2,Dubai hotel
2024-02-01,EMP-011,CC-SALES-01,Flight,SIN,HKG,,Economy,3,,Team trip to HK
2024-02-05,EMP-012,CC-TECH-01,Taxi,,,25 miles,,1,,Airport transfer miles
2024-02-10,EMP-013,CC-FINANCE-01,Flight,BOM,DEL,,Economy,1,,Mumbai to Delhi
2024-02-14,EMP-001,CC-EXEC-01,Flight,LHR,LAX,,Business,1,,LA board meeting
2024-02-20,EMP-014,CC-SALES-01,Flight,LHR,AMS,,Economy,1,,Amsterdam day trip
2024-02-25,EMP-015,CC-OPS-01,Flight,LHR,SIN,,Economy,1,,Singapore ops review
2024-03-01,EMP-016,CC-TECH-01,Flight,LAX,SFO,,Economy,2,,Short hop
2024-03-05,EMP-017,CC-SALES-01,Flight,JFK,HKG,,Business,1,,Hong Kong deal
2024-03-10,EMP-018,CC-FINANCE-01,Rail,LHR,FRA,,,1,,Frankfurt rail
2024-03-15,EMP-019,CC-EXEC-01,Flight,LHR,SYD,,First,1,,Extremely long flight
2024-03-20,EMP-020,CC-OPS-01,Car,,,150,,1,,Regional drive
